4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,4,4,4,4,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,4,-1,4
4,-1,-1,-1,-1,-1,4,4,4,4,-1,-1,-1,-1,-1,4,-1,-1,-1,4,-1,-1,-1,13,27,-1,4,4,-1,4
4,-1,-1,-1,13,-1,-1,-1,-1,-1,-1,27,13,4,-1,-1,-1,13,-1,4,-1,-1,-1,4,4,4,-1,-1,-1,4
4,-1,-1,4,4,-1,-1,13,-1,-1,4,4,4,4,4,4,4,4,-1,4,-1,-1,-1,4,4,4,-1,4,13,4
4,-1,-1,-1,-1,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,-1,-1,-1,-1,4,-1,-1,-1,4,-1,-1,-1,-1,4,4,4,-1,-1,-1,4,-1,-1,13,27,-1,-1,4,4,4
4,-1,-1,4,4,4,-1,-1,4,4,4,-1,4,-1,-1,-1,-1,-1,4,13,-1,-1,4,4,4,4,-1,-1,4,4
4,-1,4,-1,4,-1,26,4,-1,-1,4,4,4,4,13,27,-1,4,-1,4,-1,4,-1,-1,-1,-1,4,13,26,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
